Relations,Mutation class,Mutation path from class representative,Coxeter polynomial,Numbering,Hereditary form
,"P^(0)_(0,4)",,lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5,"P^(0)_(0,4)"
1;2;3,"P^(0)_(0,4)",,lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5,"P^(0)_(0,4)"
1;2;3|2;3;4,"P^(0)_(0,4)",,lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5,"P^(0)_(0,4)"
1;2;3|2;3;4|3;4;5,"P^(0)_(0,4)",,lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5,"P^(0)_(0,4)"
1;2;3|2;3;4;5,"P^(2)_(1,1)",,lambda**5 + lambda**4 + lambda + 1,1;2;3;4;5,"P^(2)_(1,1)"
1;2;3|3;4;5,"P^(0)_(0,4)",,lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5,"P^(0)_(0,4)"
1;2;3;4,"P^(2)_(1,1)",,lambda**5 + lambda**4 + lambda + 1,1;2;3;4;5,"P^(2)_(1,1)"
1;2;3;4|2;3;4;5,"P^(2)_(1,1)",-5;-3,lambda**5 + lambda**4 + lambda + 1,1;3;2;5;4,"P^(2)_(1,1)"
1;2;3;4|3;4;5,"P^(2)_(1,1)",,lambda**5 + lambda**4 + lambda + 1,1;2;3;4;5,"P^(2)_(1,1)"
1;2;3;4;5,"P^(2)_(1,1)",,lambda**5 + lambda**4 + lambda + 1,1;2;3;4;5,"P^(2)_(1,1)"
2;3;4,"P^(0)_(0,4)",,lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5,"P^(0)_(0,4)"
2;3;4|3;4;5,"P^(0)_(0,4)",,lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5,"P^(0)_(0,4)"
2;3;4;5,"P^(2)_(1,1)",,lambda**5 + lambda**4 + lambda + 1,1;2;3;4;5,"P^(2)_(1,1)"
3;4;5,"P^(0)_(0,4)",,lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5,"P^(0)_(0,4)"
